State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
NORTH DAKOTA,Bismarck State College,,"4,825",1,0,1,0,0,7,1,6,0,1
,North Dakota State College of Science,,"3,485",1,0,1,0,0,19,3,15,1,0
,North Dakota State University,,"14,102",2,0,1,1,0,93,0,89,4,0
,University of North Dakota,,"16,791",5,0,2,0,3,89,8,79,2,0
OHIO,Bowling Green State University,,"21,239",1,0,1,0,0,96,4,92,0,0
,Capital University,,"4,447",1,0,1,0,0,28,3,22,3,0
,Hocking College,,"3,411",2,0,0,0,2,27,6,21,0,0
,Kent State University,,"31,555",9,0,6,0,3,116,1,115,0,0
,Miami University,,"20,330",0,0,0,0,0,28,0,26,2,0
,Ohio State University,Columbus,"66,749",35,0,12,9,14,684,32,621,31,3
,Ohio University,,"30,163",16,0,14,0,2,88,13,74,1,1
,University of Cincinnati,,"48,219",5,0,2,2,1,166,6,147,13,1
,University of Toledo,,"18,929",6,0,2,2,2,63,10,50,3,0
OKLAHOMA,Cameron University,,"4,745",1,0,1,0,0,7,1,6,0,0
,East Central University,,"4,326",0,0,0,0,0,19,1,16,2,0
,Eastern Oklahoma State College,,"1,699",0,0,0,0,0,3,0,3,0,0
,Langston University,,"2,207",5,0,2,1,2,28,5,22,1,0
,Mid-America Christian University,,"2,617",0,0,0,0,0,2,0,2,0,0
,Northeastern Oklahoma A&M College,,"2,148",0,0,0,0,0,2,2,0,0,0
,Northeastern State University,Tahlequah,"8,756",0,0,0,0,0,29,1,27,1,0
,Oklahoma City Community College,,"17,029",0,0,0,0,0,5,0,5,0,1
,Oklahoma City University,,"2,960",2,0,1,0,1,40,1,39,0,0
,Oklahoma Panhandle State University,,"1,617",0,0,0,0,0,4,2,2,0,0
,Oklahoma State University:,Main Campus,"26,947",11,0,10,0,1,131,17,114,0,0
,,Okmulgee,"3,017",0,0,0,0,0,10,0,10,0,0
,,Tulsa,"1,442",0,0,0,0,0,3,0,3,0,0
,Rogers State University,,"4,106",0,0,0,0,0,2,0,2,0,0
,Southeastern Oklahoma State University,,"7,208",1,0,0,0,1,11,4,7,0,0
,Southern Nazarene University,,"2,883",0,0,0,0,0,20,4,15,1,1
,Southwestern Oklahoma State University,,"5,664",2,0,1,0,1,7,0,7,0,0
,Tulsa Community College,,"21,523",0,0,0,0,0,34,2,31,1,0
,University of Central Oklahoma,,"16,527",2,0,1,0,1,45,5,39,1,0
,University of Oklahoma:,Health Sciences Center,"3,668",3,0,2,0,1,107,6,95,6,0
,,Norman,"31,285",17,0,5,0,12,266,3,242,21,0
OREGON,Oregon State University,,"38,654",2,0,1,1,0,343,17,318,8,1
,Portland State University,,"29,053",7,0,0,6,1,267,43,212,12,6
PENNSYLVANIA4,Albright University,,"1,695",2,0,1,0,1,21,5,16,0,1
,Bucknell University,,"3,815",4,0,4,0,0,58,1,55,2,0
,Dickinson College,,"2,088",6,0,1,0,5,48,3,44,1,0
,Drexel University ,,"27,010",52,1,8,28,15,401,13,350,38,0
,Franklin and Marshall College,,"2,365",9,0,9,0,0,16,3,13,0,0
,Juniata College,,"1,440",0,0,0,0,0,14,2,11,1,0
,Lafayette College ,,"2,619",3,0,2,0,1,57,6,51,0,0
,Luzerne County Community College,,"6,303",0,0,0,0,0,0,0,0,0,0
,Mansfield University,,"2,110",0,0,0,0,0,4,0,4,0,0
,Pennsylvania State University,Abington3,,8,0,6,0,2,7,0,7,0,0
RHODE ISLAND,University of Rhode Island,,"20,720",11,0,5,0,6,46,1,43,2,2
SOUTH CAROLINA,Bob Jones University,,"3,654",0,0,0,0,0,0,0,0,0,0
,Clemson University,,"29,483",5,0,3,0,2,117,4,92,21,0
,Coastal Carolina University,,"11,421",6,0,3,1,2,61,0,60,1,1
,Francis Marion University,,"4,743",1,0,1,0,0,13,0,13,0,0
,Lander University,,"3,857",10,0,5,0,5,21,2,17,2,0
,Medical University of South Carolina,,"3,638",8,0,0,2,6,88,3,79,6,0
,Orangeburg-Calhoun Technical College,,"3,219",0,0,0,0,0,2,0,1,1,0
,Presbyterian College,,"1,337",0,0,0,0,0,27,10,15,2,0
,South Carolina State University,,"2,625",11,0,4,1,6,45,13,29,3,0
,Spartanburg Methodist College,,"1,116",4,0,2,0,2,9,4,5,0,0
,University of South Carolina:,Aiken,"4,870",0,0,0,0,0,5,0,5,0,1
,,Columbia,"38,770",5,0,2,1,2,168,14,133,21,0
,,Upstate,"7,107",1,0,1,0,0,12,4,7,1,0
,Winthrop University,,"6,589",2,0,1,0,1,32,3,28,1,0
,York Technical College,,"5,556",0,0,0,0,0,0,0,0,0,0
SOUTH DAKOTA,South Dakota State University,,"13,678",1,0,0,0,1,21,0,21,0,0
,University of South Dakota,,"12,018",1,0,1,0,0,49,3,45,1,0
TENNESSEE,Austin Peay State University,,"12,108",4,0,2,0,2,28,9,17,2,0
,East Tennessee State University,,"15,797",8,0,3,0,5,64,12,49,3,0
,Middle Tennessee State University,,"25,626",2,1,1,0,0,65,1,62,2,0
,Tennessee State University,,"8,424",4,0,1,0,3,33,1,32,0,1
,Tennessee Technological University,,"11,296",1,0,0,0,1,72,3,65,4,0
,University of Memphis,,"25,700",5,0,1,2,2,170,14,110,46,0
,University of Tennessee:,Chattanooga,"12,675",5,0,3,2,0,110,13,91,6,0
,,Health Science Center,"3,387",0,0,0,0,0,37,4,29,4,0
,,Knoxville,"33,245",13,0,4,3,6,149,10,133,6,0
,,Martin,"8,151",2,0,0,0,2,16,0,15,1,0
,University of the South,,"1,940",2,0,2,0,0,34,6,27,1,0
,Vanderbilt University,,"14,356",24,0,2,1,21,447,6,388,53,0
TEXAS,Alvin Community College,,"7,481",0,0,0,0,0,0,0,0,0,0
,Amarillo College,,"11,769",0,0,0,0,0,8,5,3,0,0
,Angelo State University,,"12,391",6,0,4,1,1,37,0,37,0,0
,Austin College,,"1,324",0,0,0,0,0,0,0,0,0,0
,Austin Community College District,,"61,370",2,0,0,0,2,64,5,55,4,0
,Baylor Health Care System3,,,2,0,0,0,2,355,3,318,34,0
,Brazosport College,,"5,501",0,0,0,0,0,2,0,2,0,0
,Central Texas College,,"18,388",0,0,0,0,0,7,3,4,0,0
,Cisco College,,"4,445",3,0,0,0,3,2,1,1,0,0
,Concordia University,,"2,763",0,0,0,0,0,0,0,0,0,0
,Dallas County Community College District,,"110,694",0,0,0,0,0,11,3,6,2,1
,El Paso Community College,,"33,704",0,0,0,0,0,9,0,9,0,0
,Grayson College,,"4,101",0,0,0,0,0,0,0,0,0,0
,Hardin-Simmons University,,"2,279",1,0,1,0,0,19,1,18,0,0
,Houston Community College,,"72,749",0,0,0,0,0,79,11,63,5,0
,Kilgore College,,"6,886",0,0,0,0,0,3,0,3,0,0
,Lamar University,Beaumont,"22,837",7,0,6,0,1,47,7,39,1,0
,Lone Star College System District ,,"107,768",1,0,0,0,1,63,10,49,4,0
,Lubbock Christian University,,"1,858",0,0,0,0,0,8,3,5,0,0
,McLennan Community College,,"12,405",0,0,0,0,0,0,0,0,0,0
,Midwestern State University,,"6,837",0,0,0,0,0,11,0,11,0,0
,Odessa College,,"9,971",0,0,0,0,0,8,3,5,0,0
,Panola College,,"3,277",0,0,0,0,0,0,0,0,0,0
,Paris Junior College,,"6,148",1,0,1,0,0,2,0,2,0,0
,Prairie View A&M University,,"10,303",16,0,7,0,9,117,39,72,6,0
,Rice University,,"8,270",1,0,1,0,0,131,6,109,16,0
,Sam Houston State University,,"24,652",7,0,3,0,4,94,12,76,6,2
,San Jacinto College,Central Campus,"41,796",3,0,1,0,2,48,1,44,3,1
,Southern Methodist University,,"13,602",1,0,1,0,0,178,18,139,21,0
,South Plains College,,"12,259",3,0,0,0,3,3,0,3,0,0
,St. Edwards University,,"4,006",0,0,0,0,0,26,1,25,0,0
,Stephen F. Austin State University,,"14,155",1,0,0,1,0,22,1,21,0,0
,St. Mary's University,,"3,683",2,0,1,0,1,48,0,43,5,0
,St. Thomas University,,"4,297",0,0,0,0,0,23,2,19,2,0
,Sul Ross State University,,"2,879",0,0,0,0,0,6,3,3,0,0
,Tarleton State University,,"16,109",6,0,5,0,1,48,0,45,3,0
,Texas A&M International University,,"9,961",1,0,1,0,0,14,0,14,0,0
,Texas A&M University:,College Station,"75,001",8,0,5,0,3,450,19,366,65,3
,,Commerce,"14,782",3,0,1,0,2,31,2,28,1,0
,,San Antonio,"8,124",1,0,0,0,1,21,1,20,0,0
,Texas Christian University,,"11,957",0,0,0,0,0,73,8,65,0,0
,Texas State Technical College:,Harlingen3,,0,0,0,0,0,1,0,1,0,0
,,Waco,"12,577",2,0,0,0,2,79,7,71,1,0
,,West Texas3,,0,0,0,0,0,3,2,1,0,0
,Texas State University,San Marcos,"42,111",21,0,13,2,6,55,6,45,4,0
,Texas Tech University,Lubbock,"43,379",12,0,3,0,9,282,14,256,12,1
,Texas Woman's University,,"20,404",0,0,0,0,0,27,1,25,1,0
,Trinity Valley Community College,,"6,696",3,0,1,0,2,10,3,7,0,0
,Tyler Junior College,,"15,918",1,0,1,0,0,14,2,12,0,0
,University of Houston:,Central Campus,"52,440",22,0,10,8,4,384,31,339,14,1
,,Clearlake,"11,255",0,0,0,0,0,18,0,18,0,0
,,Downtown Campus,"18,860",0,0,0,0,0,0,0,0,0,0
,University of North Texas,Denton,"47,297",9,0,5,1,3,191,14,163,14,0
,University of Texas:,Arlington,"60,276",9,0,8,0,1,136,8,127,1,0
,,Austin,"53,502",13,0,0,3,10,456,22,414,20,4
,,Dallas,"31,508",3,0,3,0,0,104,4,96,4,0
,,El Paso,"29,288",6,0,0,0,6,97,3,91,3,1
,,"Health Science Center, San Antonio","4,104",1,0,0,0,1,12,0,10,2,0
,,"Health Science Center, Tyler3",,2,0,0,0,2,9,1,8,0,0
,,Houston,"7,375",6,0,1,4,1,265,20,233,12,0
,,Medical Branch,"3,940",1,0,0,0,1,83,1,80,2,0
,,Permian Basin,"7,561",1,0,1,0,0,13,2,11,0,0
,,Rio Grande Valley,"44,634",3,0,2,0,1,58,2,55,1,0
,,San Antonio,"38,737",10,0,5,1,4,149,11,129,9,0
,,Southwestern Medical School,"2,538",0,0,0,0,0,208,12,180,16,1
,,Tyler,"12,027",2,0,2,0,0,13,0,12,1,0
,West Texas A&M University,,"11,481",1,0,1,0,0,22,1,21,0,0
UTAH,Dixie State University,,"14,051",3,0,0,0,3,15,1,14,0,0
,Snow College,,"7,064",2,0,2,0,0,10,0,10,0,0
,Southern Utah University,,"17,896",1,0,1,0,0,19,0,19,0,0
,University of Utah,,"38,804",15,0,6,1,8,308,26,265,17,0
,Utah State University,Logan,"32,967",4,0,2,0,2,32,1,30,1,0
,Utah Valley University,,"43,749",0,0,0,0,0,27,3,23,1,0
,Weber State University,,"36,680",3,0,1,0,2,37,5,32,0,0
VERMONT,University of Vermont,,"15,499",5,0,4,0,1,184,14,164,6,3
VIRGINIA,Christopher Newport University,,"5,034",4,0,2,0,2,87,4,80,3,0
,College of William and Mary,,"9,959",2,0,0,0,2,74,2,72,0,0
,Eastern Virginia Medical School,,"1,450",4,0,0,0,4,32,0,31,1,0
,Emory and Henry College,,"1,414",1,0,1,0,0,0,0,0,0,1
,George Mason University,,"46,687",8,0,5,1,2,82,1,77,4,1
,Hampton University,,"3,807",1,0,1,0,0,34,5,28,1,0
,James Madison University,,"23,827",5,0,2,2,1,108,3,102,3,1
,Norfolk State University,,"6,041",2,0,0,0,2,52,4,45,3,0
,Old Dominion University,,"28,478",48,0,7,2,39,210,7,193,10,0
,Radford University,,"13,511",6,0,3,1,2,48,5,43,0,0
,University of Mary Washington,,"4,728",0,0,0,0,0,36,0,35,1,0
,University of Richmond,,"4,357",3,0,3,0,0,66,10,53,3,1
,University of Virginia,,"28,322",30,3,8,1,18,344,5,248,91,1
,Virginia Commonwealth University,,"32,089",18,0,0,4,14,346,4,329,13,0
,Virginia Highlands Community College,,"2,729",0,0,0,0,0,1,0,1,0,0
,Virginia Polytechnic Institute and State University,,"39,078",11,0,8,1,2,236,5,228,3,3
,Virginia State University,,"8,654",13,0,4,1,8,43,0,42,1,1
WASHINGTON,Eastern Washington University,,"16,129",4,0,1,0,3,30,8,21,1,0
,Evergreen State College,,"2,856",0,0,0,0,0,0,0,0,0,0
,University of Washington,,"56,931",12,0,5,1,6,732,68,576,88,5
,Washington State University:,Pullman,"34,825",6,0,4,1,1,79,8,68,3,0
,,Vancouver3,,0,0,0,0,0,0,0,0,0,0
,Western Washington University,,"16,881",2,0,1,1,0,130,4,110,16,0
WISCONSIN,Marquette University,,"12,306",46,0,1,12,33,480,25,339,116,0
,University of Wisconsin:,Eau Claire,"11,937",2,0,2,0,0,57,1,56,0,1
,,Green Bay,"11,192",0,0,0,0,0,14,0,14,0,0
,,Madison,"48,646",6,0,5,1,0,260,23,227,10,1
,,Oshkosh,"17,570",4,0,3,0,1,12,0,11,1,0
,,Parkside,"5,299",3,0,3,0,0,6,0,6,0,0
,,River Falls,"6,531",0,0,0,0,0,25,1,23,1,0
,,Stout,"9,006",5,0,0,0,5,69,0,69,0,0
,,Whitewater,"14,126",6,0,5,1,0,13,0,13,0,0
WYOMING,University of Wyoming,,"13,300",4,0,1,0,3,51,3,47,1,0
"1 The student enrollment figures provided by the United States Department of Education are for the 2021 school year, the most recent available. The enrollment figures include full-time and part-time students.  ",,,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,
3 Student enrollment figures were not available.,,,,,,,,,,,,,
"4 Limited data for 2022 were available for Florida, Illinois, Maryland, and Pennsylvania.",,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors. These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc. ",,,,,,,,,,,,,
